"Path","Line","Marker","Text"
"D:\STSA\swamy-tech-skills-academy-main\.github\prompts\README.md","168","TODO","05_Todos/                         ← Active planning (migration source)"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\01_Development\01_software-design-principles\04_Architectural-Patterns\01_Clean-Architecture-Fundamentals.md","241","TODO","return response.Resource.ToDomainEntity();"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\01_Development\01_software-design-principles\04_Architectural-Patterns\02_Traditional-Clean-Architecture.md","291","TODO","return orderEntity?.ToDomainModel();"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\01_Development\17_Git-Version-Control\04_Undo-Strategies.md","22","TODO","## TODO"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\01_Development\17_Git-Version-Control\05_Branching-Patterns.md","28","TODO","## TODO"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\01_Development\17_Git-Version-Control\06_Rewriting-History.md","26","TODO","## TODO"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\01_Development\17_Git-Version-Control\07_Automation-and-CI-CD.md","21","TODO","## TODO"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\02_AI-and-ML\07_AI-Agents\03_AI-Agent-Fundamentals.md","394","TODO","- Task management (Todoist, Asana)"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\97_Legacy-Migration-Archive\09_Documentation\COMPLETE_LEARNING_PLAN.md","7","TODO","Migration TODO:"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\97_Legacy-Migration-Archive\Data-Structures-Algorithms-Legacy\_shared\CodeTemplates\CodeExampleTemplates.md","40","TODO","# TODO: Implement algorithm"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\97_Legacy-Migration-Archive\Data-Structures-Algorithms-Legacy\_shared\CodeTemplates\CodeExampleTemplates.md","109","TODO","# TODO: Implement method"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\97_Legacy-Migration-Archive\Data-Structures-Algorithms-Legacy\_shared\CodeTemplates\CodeExampleTemplates.md","147","TODO","// TODO: Implement algorithm"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\97_Legacy-Migration-Archive\Data-Structures-Algorithms-Legacy\_shared\CodeTemplates\CodeExampleTemplates.md","235","TODO","// TODO: Implement method"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\97_Legacy-Migration-Archive\Data-Structures-Algorithms-Legacy\_shared\CodeTemplates\CodeExampleTemplates.md","300","TODO","// TODO: Implement algorithm"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\97_Legacy-Migration-Archive\Data-Structures-Algorithms-Legacy\_shared\CodeTemplates\CodeExampleTemplates.md","434","TODO","// TODO: Implement method"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\97_Legacy-Migration-Archive\Data-Structures-Algorithms-Legacy\_shared\CodeTemplates\CodeExampleTemplates.md","446","TODO","// TODO: Add elements representation"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\97_Legacy-Migration-Archive\Data-Structures-Algorithms-Legacy\_shared\CodeTemplates\CodeExampleTemplates.md","484","TODO","Replace `// TODO: Implement` comments with actual algorithm logic."
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\97_Legacy-Migration-Archive\Data-Structures-Algorithms-Legacy\Templates\LessonPlanTemplate.md","199","TODO","# TODO: Implement the solution"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\97_Legacy-Migration-Archive\Data-Structures-Algorithms-Legacy\WeeklyLessons\Week01-BigO-LessonPlan.md","379","TODO","# TODO: Implement the solution"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\97_Legacy-Migration-Archive\Data-Structures-Algorithms-Legacy\WeeklyLessons\Week01-BigO-LessonPlan.md","384","TODO","# TODO: Compare with built-in"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\97_Legacy-Migration-Archive\Data-Structures-Algorithms-Legacy\WeeklyLessons\Week01-BigO-LessonPlan.md","389","TODO","# TODO: Implement timing comparison"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\97_Legacy-Migration-Archive\Planning-and-Development\01_Migration-Day-2-Summary.md","29","TODO","| `05_Todos/Design-Principles-Complete-Guide.md` | `01_ReferenceLibrary/.../15_Complete-Design-Principles-Guide.md` | 📚 Learning | ✅ Enhanced |"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\97_Legacy-Migration-Archive\Planning-and-Development\01_Migration-Day-2-Summary.md","30","TODO","| `05_Todos/07092025_AI-Agent-Conference-Plan.md` | `02_Planning-and-Development/conferences/` | 📋 Planning | ✅ Moved |"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\97_Legacy-Migration-Archive\Planning-and-Development\01_Migration-Day-2-Summary.md","31","TODO","| `05_Todos/Backlog.md` | `02_Planning-and-Development/backlog/` | 📋 Planning | ✅ Moved |"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\97_Legacy-Migration-Archive\Planning-and-Development\01_Migration-Day-2-Summary.md","33","TODO","| Remaining `05_Todos/*` | `02_Planning-and-Development/course-development/` | 📋 Planning | ✅ Moved |"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\97_Legacy-Migration-Archive\Planning-and-Development\course-development\WEEK2-4_Planning_Outline.md","53","TODO","**Planning Template Location**: `05_Todos/WEEKX_[Topic]_Learning_Plan.md`"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\97_Legacy-Migration-Archive\Todos\WEEK2-4_Planning_Outline.md","53","TODO","**Planning Template Location**: `05_Todos/WEEKX_[Topic]_Learning_Plan.md`"
"D:\STSA\swamy-tech-skills-academy-main\01_ReferenceLibrary\LEGACY_ELIMINATION_SUCCESS.md","56","TODO","├── 05_Todos/ (10+ task files)"
"D:\STSA\swamy-tech-skills-academy-main\README.md","9","TODO","R[01_ReferenceLibrary<br/>📚 Learning Hub] --> T[05_Todos<br/>📋 Planning]"
"D:\STSA\swamy-tech-skills-academy-main\README.md","98","TODO","- 📋 **Planning**: [05_Todos/](05_Todos/) - Future learning tasks and ideas"
"D:\STSA\swamy-tech-skills-academy-main\README.md","103","TODO","R --> T[05_Todos<br/>📋 Planning]"
"D:\STSA\swamy-tech-skills-academy-main\README.md","661","TODO","npx --yes markdownlint-cli2 ""README.md"" ""01_LeadArchitectKnowledgeBase/**/*.md"" ""02_LearningJourney/**/*.md"" ""03_ReferenceLibrary/**/*.md"" ""04_LegacyContent/**/*.md"" ""05_Todos/**/*.md"" ""06_AuditFiles/**/*.md"" "".github/**/*.md"""
"D:\STSA\swamy-tech-skills-academy-main\README.md","681","TODO","docker run --rm -w /input -v ""${PWD}:/input"" lycheeverse/lychee:latest --config lychee.toml --no-progress --dump README.md 01_ReferenceLibrary/**/*.md 02_Planning-and-Development/**/*.md 05_Todos/**/*.md 07_LearningGround/**/*.md Daily-Migration-Tracker.md Migration-Plan-Todos-LearningGround.md .github/**/*.md"
"D:\STSA\swamy-tech-skills-academy-main\README.md","684","TODO","docker run --rm -w /input -v ""${PWD}:/input"" lycheeverse/lychee:latest --config lychee.toml --no-progress README.md 01_ReferenceLibrary/**/*.md 02_Planning-and-Development/**/*.md 05_Todos/**/*.md 07_LearningGround/**/*.md Daily-Migration-Tracker.md Migration-Plan-Todos-LearningGround.md .github/**/*.md"
"D:\STSA\swamy-tech-skills-academy-main\tools\docs-links.ps1","10","TODO","'05_Todos/**/*.md',"
"D:\STSA\swamy-tech-skills-academy-main\tools\docs-links.ps1","13","TODO","'Migration-Plan-Todos-LearningGround.md',"
"D:\STSA\swamy-tech-skills-academy-main\tools\docs-lint.ps1","10","TODO","'05_Todos/**/*.md',"
"D:\STSA\swamy-tech-skills-academy-main\tools\docs-lint.ps1","13","TODO","'Migration-Plan-Todos-LearningGround.md',"
"D:\STSA\swamy-tech-skills-academy-main\tools\extract-todos.ps1","3","TODO","Extract TODO/FIXME markers from repository files and produce a CSV report."
"D:\STSA\swamy-tech-skills-academy-main\tools\extract-todos.ps1","6","TODO","Scans the workspace for common TODO patterns and writes a CSV to `tools/todo-report.csv` with columns: Path, Line, Marker, Text"
"D:\STSA\swamy-tech-skills-academy-main\tools\extract-todos.ps1","10","TODO","./tools/extract-todos.ps1"
"D:\STSA\swamy-tech-skills-academy-main\tools\extract-todos.ps1","15","TODO","[string]$OutCsv = ""tools/todo-report.csv"""
"D:\STSA\swamy-tech-skills-academy-main\tools\extract-todos.ps1","18","TODO","$patterns = @(""TODO"", ""FIXME"", ""# TODO"", ""// TODO"", ""Migration TODO"", ""MIGRATION TODO"")"
"D:\STSA\swamy-tech-skills-academy-main\tools\extract-todos.ps1","20","TODO","Write-Host ""Scanning repository for TODO markers..."" -ForegroundColor Cyan"
"D:\STSA\swamy-tech-skills-academy-main\tools\extract-todos.ps1","44","TODO","Write-Host ""No TODO markers found."" -ForegroundColor Green"
"D:\STSA\swamy-tech-skills-academy-main\tools\extract-todos.ps1","48","TODO","Write-Host ""Wrote $($results.Count) TODO entries to $OutCsv"" -ForegroundColor Green"
"D:\STSA\swamy-tech-skills-academy-main\tools\todo-scan-report.md","1","TODO","# TODO Scan Report (auto-generated snapshot)"
"D:\STSA\swamy-tech-skills-academy-main\tools\todo-scan-report.md","9","TODO","- `01_ReferenceLibrary/97_Legacy-Migration-Archive/Data-Structures-Algorithms-Legacy/` — many `TODO` items in templates and lesson plans"
"D:\STSA\swamy-tech-skills-academy-main\tools\todo-scan-report.md","10","TODO","- `01_ReferenceLibrary/01_Development/17_Git-Version-Control/` — four files with `## TODO` headings"
"D:\STSA\swamy-tech-skills-academy-main\tools\todo-scan-report.md","11","TODO","- Migration planning files with 'Migration TODO:' markers"
"D:\STSA\swamy-tech-skills-academy-main\tools\todo-scan-report.md","15","TODO","1. Run `tools/extract-todos.ps1` to produce an up-to-date CSV of TODO locations."
"D:\STSA\swamy-tech-skills-academy-main\tools\todo-scan-report.md","16","TODO","2. Triage TODOs into issues or move high-priority items into `05_Todos/` for scheduled work."
"D:\STSA\swamy-tech-skills-academy-main\tools\todo-scan-report.md","17","TODO","3. Implement low-effort fixes (stubs, placeholders) for `## TODO` headings to improve reader experience."
"D:\STSA\swamy-tech-skills-academy-main\tools\todo-scan-report.md","19","TODO","Top example files with TODOs:"
"D:\STSA\swamy-tech-skills-academy-main\tools\todo-scan-report.md","28","TODO","- This file is a short snapshot created by the assistant during a repository scan. Use `tools/extract-todos.ps1` for a fresh run."
